x, y
0.5, 6.466e-09
0.6, 4.77954e-11
0.7, 1.24326e-11
0.8, 1.98982e-12
0.9, 1.08754e-12
1, 5.24723e-13
1.1, 9.57389e-11
1.2, 2.25589e-09
1.3, 9.39365e-09
1.4, 2.18942e-08
1.5, 3.80626e-08
1.6, 5.58729e-08
1.7, 7.38904e-08
1.8, 9.11184e-08
1.9, 1.06926e-07
2, 1.20985e-07
2.1, 1.33165e-07
2.2, 1.43236e-07
2.3, 1.50861e-07
2.4, 1.55884e-07
2.5, 1.58375e-07
2.6, 1.58476e-07
2.7, 1.56564e-07
2.8, 1.52986e-07
2.9, 1.48086e-07
3, 1.42121e-07
3.1, 1.35363e-07
3.2, 1.28274e-07
3.3, 1.21828e-07
3.4, 1.17468e-07
3.5, 1.17363e-07
3.6, 1.24292e-07
3.7, 1.38012e-07
3.8, 1.58034e-07
3.9, 1.9242e-07
4, 2.4683e-07
4.1, 3.19797e-07
4.2, 4.10088e-07
4.3, 5.20663e-07
4.4, 6.53943e-07
4.5, 8.04313e-07
4.6, 9.56965e-07
4.7, 1.09559e-06
4.8, 1.20905e-06
4.9, 1.29216e-06
5, 1.34279e-06
