x, y
0.5, 1.03371e-16
0.6, 1.51153e-11
0.7, 1.12639e-09
0.8, 1.01478e-08
0.9, 1.04963e-07
1, 2.80436e-07
1.1, 3.01856e-07
1.2, 2.41112e-07
1.3, 1.57074e-07
1.4, 2.11669e-07
1.5, 4.51113e-07
1.6, 7.74981e-07
1.7, 1.14135e-06
1.8, 1.51653e-06
1.9, 1.87495e-06
2, 2.20708e-06
2.1, 2.5071e-06
2.2, 2.77229e-06
2.3, 3.0071e-06
2.4, 3.21653e-06
2.5, 3.40607e-06
2.6, 3.58057e-06
2.7, 3.74334e-06
2.8, 3.89637e-06
2.9, 4.03938e-06
3, 4.17061e-06
3.1, 4.30129e-06
3.2, 4.89935e-06
3.3, 7.93728e-06
3.4, 1.63314e-05
3.5, 3.23126e-05
3.6, 5.70281e-05
3.7, 9.04471e-05
3.8, 0.000132256
3.9, 0.000182297
4, 0.000240154
4.1, 0.000305091
4.2, 0.000375965
4.3, 0.000451032
4.4, 0.000528134
4.5, 0.000605009
4.6, 0.00067956
4.7, 0.000749965
4.8, 0.000814435
4.9, 0.000807478
5, 0.000856906
