x, y
0.5, 3.19352e-17
0.6, 3.42053e-17
0.7, 1.28276e-13
0.8, 2.36185e-12
0.9, 5.06875e-12
1, 7.37975e-11
1.1, 8.51905e-10
1.2, 7.01164e-09
1.3, 1.97349e-08
1.4, 8.81456e-08
1.5, 2.21833e-07
1.6, 4.0581e-07
1.7, 6.17073e-07
1.8, 8.34342e-07
1.9, 1.04251e-06
2, 1.23218e-06
2.1, 1.39831e-06
2.2, 1.53797e-06
2.3, 1.64591e-06
2.4, 1.71828e-06
2.5, 1.75475e-06
2.6, 1.75853e-06
2.7, 1.73466e-06
2.8, 1.68892e-06
2.9, 1.62681e-06
3, 1.55281e-06
3.1, 1.47058e-06
3.2, 1.36284e-06
3.3, 1.15506e-06
3.4, 7.1275e-07
3.5, 2.07197e-07
3.6, 1.83906e-06
3.7, 4.72864e-06
3.8, 9.64401e-06
3.9, 1.76903e-05
4, 3.00776e-05
4.1, 4.78902e-05
4.2, 7.17322e-05
4.3, 0.000101594
4.4, 0.00120833
4.5, 0.00113755
4.6, 0.00168981
4.7, 0.00163346
4.8, 0.00160476
4.9, 0.00158547
5, 0.001567
