x, y
0.5, 8.25546e-07
0.6, 1.13434e-06
0.7, 2.57281e-07
0.8, 7.68475e-08
0.9, 3.33652e-08
1, 1.56357e-08
1.1, 8.81809e-09
1.2, 5.15055e-09
1.3, 1.92098e-08
1.4, 7.35939e-08
1.5, 1.50317e-07
1.6, 2.36261e-07
1.7, 3.22654e-07
1.8, 4.05074e-07
1.9, 4.81244e-07
2, 5.50138e-07
2.1, 6.1147e-07
2.2, 6.64956e-07
2.3, 7.11201e-07
2.4, 7.5168e-07
2.5, 7.88006e-07
2.6, 8.21521e-07
2.7, 8.53128e-07
2.8, 8.83408e-07
2.9, 9.12457e-07
3, 9.403e-07
3.1, 9.69689e-07
3.2, 1.05251e-06
3.3, 1.61536e-06
3.4, 3.66736e-06
3.5, 7.77975e-06
3.6, 1.42404e-05
3.7, 2.31028e-05
3.8, 3.41401e-05
3.9, 4.71157e-05
4, 6.18876e-05
4.1, 7.83118e-05
4.2, 9.60257e-05
4.3, 0.000114495
4.4, 0.000133035
4.5, 0.00186797
4.6, 0.00176895
4.7, 0.00140041
4.8, 0.00121077
4.9, 0.00107862
5, 0.000967344
