x, y
0.5, 0.228028
0.6, 0.228028
0.7, 0.228028
0.8, 0.197036
0.9, 0.148253
1, 0.102564
1.1, 0.0623983
1.2, 0.0342916
1.3, 0.00851716
1.4, 0.000180823
1.5, 0.000190464
1.6, 0.000206721
1.7, 0.000231407
1.8, 0.000265806
1.9, 0.000310438
2, 0.000365292
2.1, 0.000430094
2.2, 0.000504398
2.3, 0.000587593
2.4, 0.000678868
2.5, 0.000777217
2.6, 0.000881678
2.7, 0.000991473
2.8, 0.0011061
2.9, 0.00122537
3, 0.00134926
3.1, 0.0014778
3.2, 0.00161091
3.3, 0.00174839
3.4, 0.00189001
3.5, 0.0020356
3.6, 0.00218507
3.7, 0.0023384
3.8, 0.00249555
3.9, 0.00265644
4, 0.00282097
4.1, 0.00298903
4.2, 0.00316048
4.3, 0.00333517
4.4, 0.00351289
4.5, 0.00369341
4.6, 0.00387646
4.7, 0.00406171
4.8, 0.00424885
4.9, 0.0044375
5, 0.0046273
