x, y
0.5, 0.0862493
0.6, 0.0860431
0.7, 0.0852459
0.8, 0.0705904
0.9, 0.0541169
1, 0.0386241
1.1, 0.0216503
1.2, 0.00965296
1.3, 0.00239049
1.4, 0.000159692
1.5, 9.47349e-05
1.6, 9.38885e-05
1.7, 9.35251e-05
1.8, 9.35097e-05
1.9, 9.36262e-05
2, 9.36959e-05
2.1, 9.37134e-05
2.2, 9.37846e-05
2.3, 9.40259e-05
2.4, 9.44766e-05
2.5, 9.51693e-05
2.6, 9.62014e-05
2.7, 9.77251e-05
2.8, 9.98951e-05
2.9, 0.000102806
3, 0.000106541
3.1, 0.00011119
3.2, 0.000116842
3.3, 0.000123571
3.4, 0.000131381
3.5, 0.00014024
3.6, 0.0001501
3.7, 0.000160899
3.8, 0.000172594
3.9, 0.000185169
4, 0.000198622
4.1, 0.000212948
4.2, 0.000228142
4.3, 0.000244193
4.4, 0.000261096
4.5, 0.000278842
4.6, 0.000297419
4.7, 0.000316806
4.8, 0.000336975
4.9, 0.00035789
5, 0.000379504
