x, y
0.5, 0.171028
0.6, 0.164142
0.7, 0.164142
0.8, 0.146136
0.9, 0.104115
1, 0.0522669
1.1, 0.0285797
1.2, 0.0110464
1.3, 0.00149259
1.4, 0.00133288
1.5, 0.00120256
1.6, 0.00109159
1.7, 0.000996009
1.8, 0.000919704
1.9, 0.000866603
2, 0.000836331
2.1, 0.000823917
2.2, 0.000823812
2.3, 0.000832348
2.4, 0.000848531
2.5, 0.000873504
2.6, 0.000909998
2.7, 0.000960206
2.8, 0.00102364
2.9, 0.00109895
3, 0.00118537
3.1, 0.00128291
3.2, 0.00139233
3.3, 0.00151423
3.4, 0.00164961
3.5, 0.00179972
3.6, 0.00196532
3.7, 0.00214669
3.8, 0.00234345
3.9, 0.0025549
4, 0.00278033
4.1, 0.00301915
4.2, 0.00327087
4.3, 0.00353482
4.4, 0.0038102
4.5, 0.00409594
4.6, 0.00439077
4.7, 0.00469334
4.8, 0.0137229
4.9, 0.0219366
5, 0.0220167
