x, y
0.5, 0.171028
0.6, 0.164149
0.7, 0.164148
0.8, 0.147464
0.9, 0.106024
1, 0.0572398
1.1, 0.0379715
1.2, 0.0308986
1.3, 0.0288203
1.4, 0.0285758
1.5, 0.0282712
1.6, 0.0280091
1.7, 0.0278654
1.8, 0.0278573
1.9, 0.027946
2, 0.0280932
2.1, 0.0282778
2.2, 0.0284903
2.3, 0.0287303
2.4, 0.0290007
2.5, 0.0293036
2.6, 0.0296391
2.7, 0.0300022
2.8, 0.0303884
2.9, 0.0320698
3, 0.0327114
3.1, 0.0333591
3.2, 0.0340176
3.3, 0.0346905
3.4, 0.0353806
3.5, 0.0360917
3.6, 0.0368274
3.7, 0.0375919
3.8, 0.038389
3.9, 0.0392207
4, 0.0400885
4.1, 0.0680636
4.2, 0.0685882
4.3, 0.0691516
4.4, 0.0709547
4.5, 0.0736673
4.6, 0.09419
4.7, 0.101604
4.8, 0.103817
4.9, 0.105978
5, 0.108073
