x, y
0.5, 86.7358
0.6, 1959.45
0.7, 663.572
0.8, 1013030
0.9, 7941.27
1, 400.786
1.1, 3.11549
1.2, 2.33041
1.3, 1.8094
1.4, 1.4429
1.5, 1.15289
1.6, 0.905029
1.7, 0.682839
1.8, 0.486158
1.9, 0.331139
2, 0.241608
2.1, 0.23396
2.2, 0.278974
2.3, 1713.48
2.4, 1211.61
2.5, 0.415698
2.6, 0.448704
2.7, 0.483059
2.8, 0.519612
2.9, 0.555192
3, 0.587532
3.1, 0.619305
3.2, 0.653138
3.3, 0.689325
3.4, 0.72482
3.5, 0.754093
3.6, 0.771439
3.7, 0.773093
3.8, 0.757913
3.9, 0.728592
4, 2.16614
4.1, 0.647341
4.2, 0.604552
4.3, 8.7929
4.4, 0.540683
4.5, 0.531751
4.6, 0.544524
4.7, 0.580173
4.8, 0.6363
4.9, 0.708486
5, 0.792032
