x, y
0.5, 232.475
0.6, 4324.86
0.7, 8333.59
0.8, 10036.1
0.9, 9603.39
1, 5260.22
1.1, 170.212
1.2, 150.642
1.3, 135.342
1.4, 126.472
1.5, 123.162
1.6, 122.344
1.7, 121.576
1.8, 119.94
1.9, 117.206
2, 113.424
2.1, 108.907
2.2, 104.001
2.3, 99.0181
2.4, 94.2392
2.5, 89.7031
2.6, 85.2229
2.7, 80.677
2.8, 76.0503
2.9, 71.4155
3, 66.9304
3.1, 62.7214
3.2, 58.8695
3.3, 55.4208
3.4, 52.3727
3.5, 49.6764
3.6, 47.2749
3.7, 45.1187
3.8, 43.1734
3.9, 41.4314
4, 39.9025
4.1, 38.5845
4.2, 37.4733
4.3, 36.571
4.4, 35.8851
4.5, 35.4326
4.6, 35.2363
4.7, 35.3127
4.8, 35.6663
4.9, 36.2868
5, 37.1494
