x, y
0.5, 30.4953
0.6, 661.396
0.7, 331.905
0.8, 3513.99
0.9, 32.3105
1, 304.903
1.1, 6480.01
1.2, 3749.4
1.3, 3746.74
1.4, 3741.16
1.5, 5786.28
1.6, 6470.43
1.7, 6010.76
1.8, 6903.93
1.9, 7575.73
2, 9316.41
2.1, 9305.34
2.2, 10233.9
2.3, 10438.3
2.4, 10220.3
2.5, 11067
2.6, 11930.8
2.7, 12610.3
2.8, 13520.4
2.9, 13304.5
3, 13354.3
3.1, 13346.6
3.2, 13705
3.3, 13176.2
3.4, 11837.5
3.5, 10750
3.6, 7821.1
3.7, 10438.2
3.8, 2896.7
3.9, 3329.26
4, 3098.53
4.1, 3098.53
4.2, 2879.5
4.3, 2879.51
4.4, 4228.24
4.5, 2628.19
4.6, 75.1129
4.7, 75.2491
4.8, 1146.75
4.9, 1646.67
5, 1672.28
