x, y
0.5, 39.2859
0.6, 764.937
0.7, 74019.1
0.8, 25828.1
0.9, 40401.5
1, 22705.2
1.1, 41963.5
1.2, 43224
1.3, 631.336
1.4, 19.4047
1.5, 74147.6
1.6, 1349.34
1.7, 75301.8
1.8, 74152.3
1.9, 81069.8
2, 74152.3
2.1, 75299.6
2.2, 74152.3
2.3, 74152.3
2.4, 74152.3
2.5, 49042.7
2.6, 16.1953
2.7, 908.149
2.8, 41448.6
2.9, 17.6973
3, 18.254
3.1, 18.8173
3.2, 414.124
3.4, 4649.37
3.5, 28.256
3.6, 22.0446
3.7, 22.8141
3.8, 8587.67
3.9, 23.7739
4, 31.7957
4.1, 25.6119
4.2, 55.6902
4.3, 69.0049
4.4, 341.476
4.5, 106.132
4.6, 28.927
4.7, 29.7738
4.8, 30.6423
4.9, 31.6067
5, 39.5656
