x, y
0.5, 0.00132208
0.6, 1010.88
0.7, 1750.58
0.8, 1424.27
0.9, 83.5805
1, 71.7213
1.1, 2.17795e-05
1.2, 99.2616
1.3, 9.57273e-05
1.4, 0.000296135
1.5, 1085.16
1.6, 0.000957274
1.7, 0.00134804
1.8, 0.00174197
1.9, 0.00211821
2, 116.893
2.1, 0.00275793
2.2, 2.39543
2.3, 0.00323173
2.4, 0.00342418
2.5, 0.00359827
2.6, 0.00375824
2.7, 116.893
2.8, 0.00404002
2.9, 0.00415958
3, 0.00426132
3.1, 0.00432405
3.2, 0.00405291
3.3, 0.00360746
3.4, 0.00764925
3.5, 0.018387
3.6, 0.0355518
3.7, 0.0590909
3.8, 0.0885747
3.9, 0.123603
4, 0.163895
4.1, 0.209115
4.2, 1659.07
4.3, 142.428
4.4, 1394780
4.5, 2.7365
4.6, 2.6216
4.7, 2.10237
4.8, 1.84123
4.9, 24.6388
5, 1.50498
