x, y
0.5, 210.235
0.6, 500.198
0.7, 646.121
0.8, 902.782
0.9, 797.868
1, 606.86
1.1, 378.947
1.2, 182.755
1.3, 53.4083
1.4, 3.57099
1.5, 1.86123
1.6, 1.86885
1.7, 1.89266
1.8, 1.92448
1.9, 1.9565
2, 1.98368
2.1, 2.00627
2.2, 2.0273
2.3, 2.05046
2.4, 2.07672
2.5, 2.10649
2.6, 2.14126
2.7, 2.18332
2.8, 2.23557
2.9, 2.29893
3, 2.37293
3.1, 2.45736
3.2, 2.55251
3.3, 2.65912
3.4, 2.77678
3.5, 2.90449
3.6, 3.04122
3.7, 3.18603
3.8, 3.33853
3.9, 3.49883
4, 3.66689
4.1, 3.84222
4.2, 4.02443
4.3, 4.21307
4.4, 4.40783
4.5, 4.60852
4.6, 4.81498
4.7, 5.02707
4.8, 5.24483
4.9, 5.46847
5, 5.69815
