x, y
0.5, 0.00747018
0.6, 0.00746973
0.7, 0.00741609
0.8, 0.00716932
0.9, 0.00677461
1, 0.00647959
1.1, 0.00653726
1.2, 0.00697573
1.3, 0.0076113
1.4, 0.0084168
1.5, 0.00948268
1.6, 0.0108659
1.7, 0.0125561
1.8, 0.0145236
1.9, 0.0167306
2, 0.0191473
2.1, 0.0217442
2.2, 0.024488
2.3, 0.0273667
2.4, 0.0303796
2.5, 0.0335292
2.6, 0.0368164
2.7, 0.0402425
2.8, 0.0438063
2.9, 0.0475065
3, 0.0513497
3.1, 0.0553464
3.2, 0.0595049
3.3, 0.06383
3.4, 0.0683249
3.5, 0.0729929
3.6, 0.0778408
3.7, 0.0828759
3.8, 0.0881047
3.9, 0.0935319
4, 0.09916
4.1, 0.10499
4.2, 0.111022
4.3, 0.117254
4.4, 0.123679
4.5, 0.130291
4.6, 0.137081
4.7, 0.144042
4.8, 0.151166
4.9, 0.158443
5, 0.165864
