x, y
0.5, 5.55365e-05
0.6, 5.55227e-05
0.7, 5.54292e-05
0.8, 5.60532e-05
0.9, 5.94269e-05
1, 6.76779e-05
1.1, 7.94615e-05
1.2, 9.17337e-05
1.3, 0.000102917
1.4, 0.000112737
1.5, 0.00012116
1.6, 0.000127941
1.7, 0.000132725
1.8, 0.000135157
1.9, 0.000134917
2, 0.000132077
2.1, 0.000127272
2.2, 0.000121705
2.3, 0.000117358
2.4, 0.000117238
2.5, 0.000124996
2.6, 0.000143478
2.7, 0.000173454
2.8, 0.000214045
2.9, 0.000263956
3, 0.000322214
3.1, 0.000388254
3.2, 0.000461806
3.3, 0.000542787
3.4, 0.000631232
3.5, 0.00072721
3.6, 0.000830766
3.7, 0.00094193
3.8, 0.00106069
3.9, 0.001187
4, 0.00132074
4.1, 0.00146177
4.2, 0.0016099
4.3, 0.00176489
4.4, 0.00192642
4.5, 0.00209413
4.6, 0.00226762
4.7, 0.00244643
4.8, 0.00263011
4.9, 0.00281818
5, 0.00301014
