x, y
0.5, 0.271487
0.6, 0.271363
0.7, 0.26551
0.8, 0.259176
0.9, 0.255326
1, 0.249261
1.1, 0.239612
1.2, 0.227641
1.3, 0.214364
1.4, 0.199614
1.5, 0.183518
1.6, 0.167719
1.7, 0.153055
1.8, 0.139545
1.9, 0.126628
2, 0.11395
2.1, 0.102138
2.2, 0.0911599
2.3, 0.081084
2.4, 0.0728084
2.5, 0.0671665
2.6, 0.0644788
2.7, 0.0652571
2.8, 0.0695863
2.9, 0.0768958
3, 0.0862987
3.1, 0.0969232
3.2, 0.108112
3.3, 0.119613
3.4, 0.131611
3.5, 0.144089
3.6, 0.15656
3.7, 0.168233
3.8, 0.178704
3.9, 0.188064
4, 0.196612
4.1, 0.204717
4.2, 0.212835
4.3, 0.221484
4.4, 0.231127
4.5, 0.242127
4.6, 0.254697
4.7, 0.268893
4.8, 0.28466
4.9, 0.301902
5, 0.320485
