x, y
0.5, 0.581782
0.6, 0.576588
0.7, 0.563322
0.8, 0.547444
0.9, 0.526496
1, 0.498781
1.1, 0.464553
1.2, 0.428576
1.3, 0.395285
1.4, 0.366
1.5, 0.342233
1.6, 0.323573
1.7, 0.309137
1.8, 0.298446
1.9, 0.291583
2, 0.288261
2.1, 0.287556
2.2, 0.288404
2.3, 0.290546
2.4, 0.29395
2.5, 0.29838
2.6, 0.303636
2.7, 0.309566
2.8, 0.316004
2.9, 0.322831
3, 0.330013
3.1, 0.337604
3.2, 0.345651
3.3, 0.354215
3.4, 0.36335
3.5, 0.373082
3.6, 0.383425
3.7, 0.39436
3.8, 0.405863
3.9, 0.417899
4, 0.430446
4.1, 0.443498
4.2, 0.45705
4.3, 0.471076
4.4, 0.485534
4.5, 0.500367
4.6, 0.515512
4.7, 0.5309
4.8, 0.546469
4.9, 0.562159
5, 0.577913
