x, y
0.5, 0.890607
0.6, 0.90764
0.7, 1.12635
0.8, 1.48893
0.9, 1.6302
1, 1.57121
1.1, 1.41292
1.2, 1.26751
1.3, 1.17875
1.4, 1.09507
1.5, 1.01388
1.6, 0.972137
1.7, 0.932863
1.8, 0.8751
1.9, 0.791994
2, 0.71041
2.1, 0.640148
2.2, 0.571812
2.3, 0.517892
2.4, 0.473974
2.5, 0.439488
2.6, 0.409365
2.7, 0.383655
2.8, 0.369002
2.9, 0.355192
3, 0.351328
3.1, 0.364293
3.2, 0.401017
3.3, 0.457996
3.4, 0.521416
3.5, 0.578972
3.6, 0.626917
3.7, 0.66714
3.8, 0.695841
3.9, 0.710008
4, 0.71301
4.1, 0.710688
4.2, 0.702118
4.3, 0.690677
4.4, 0.682345
4.5, 0.68128
4.6, 0.689187
4.7, 0.706155
4.8, 0.730094
4.9, 0.761377
5, 0.800614
