x, y
0.5, 2.81662
0.6, 2.74303
0.7, 2.40924
0.8, 2.05813
0.9, 1.89409
1, 1.82007
1.1, 1.68025
1.2, 1.62403
1.3, 1.60936
1.4, 1.68534
1.5, 1.71857
1.6, 1.83677
1.7, 1.88546
1.8, 1.75739
1.9, 1.71209
2, 1.67268
2.1, 1.63966
2.2, 1.60549
2.3, 1.55569
2.4, 1.48369
2.5, 1.4057
2.6, 1.3273
2.7, 1.24105
2.8, 1.15151
2.9, 1.06263
3, 0.985761
3.1, 0.925674
3.2, 0.875428
3.3, 0.831017
3.4, 0.787876
3.5, 0.743897
3.6, 0.699583
3.7, 0.658513
3.8, 0.62293
3.9, 0.591291
4, 0.560989
4.1, 0.53085
4.2, 0.50207
4.3, 0.476213
4.4, 0.453587
4.5, 0.433324
4.6, 0.41564
4.7, 0.401859
4.8, 0.393266
4.9, 0.390014
5, 0.39171
