x, y
0.5, 0.126879
0.6, 0.126879
0.7, 0.1236
0.8, 0.0977332
0.9, 0.0636038
1, 0.0320943
1.1, 0.0232772
1.2, 0.0173812
1.3, 0.0123417
1.4, 0.0123335
1.5, 0.012322
1.6, 0.0123093
1.7, 0.0122979
1.8, 0.0122888
1.9, 0.0122815
2, 0.0122761
2.1, 0.012273
2.2, 0.0122721
2.3, 0.0122727
2.4, 0.0122746
2.5, 0.012278
2.6, 0.0122837
2.7, 0.0122923
2.8, 0.0123059
2.9, 0.0123258
3, 0.0123537
3.1, 0.0123913
3.2, 0.0124407
3.3, 0.0125045
3.4, 0.0125855
3.5, 0.0126872
3.6, 0.0128128
3.7, 0.0129657
3.8, 0.0117735
3.9, 0.0124388
4, 0.013154
4.1, 0.0139142
4.2, 0.0147164
4.3, 0.015557
4.4, 0.0164324
4.5, 0.0173314
4.6, 0.017881
4.7, 0.0184868
4.8, 0.0191455
4.9, 0.0198525
5, 0.0206262
