x, y
0.5, 0.126879
0.6, 0.126879
0.7, 0.123606
0.8, 0.0978436
0.9, 0.0638642
1, 0.0326637
1.1, 0.0242539
1.2, 0.0185932
1.3, 0.0139596
1.4, 0.0139679
1.5, 0.0141918
1.6, 0.0146764
1.7, 0.0154681
1.8, 0.0165345
1.9, 0.0174489
2, 0.0197163
2.1, 0.0221031
2.2, 0.0241711
2.3, 0.0262889
2.4, 0.0286048
2.5, 0.0311406
2.6, 0.0340537
2.7, 0.0372116
2.8, 0.0404012
2.9, 0.0435977
3, 0.0453188
3.1, 0.0478493
3.2, 0.0503244
3.3, 0.0529471
3.4, 0.0557107
3.5, 0.0582208
3.6, 0.0608257
3.7, 0.0633792
3.8, 0.0662691
3.9, 0.0692945
4, 0.0722875
4.1, 0.0778475
4.2, 0.0829251
4.3, 0.0864391
4.4, 0.0907103
4.5, 0.0960865
4.6, 0.101048
4.7, 0.105758
4.8, 0.11003
4.9, 0.112918
5, 0.115945
