x, y
0.5, 0.132042
0.6, 0.115808
0.7, 0.108264
0.8, 0.0910012
0.9, 0.0450411
1, 0.0128282
1.1, 0.0100923
1.2, 6.36186e-05
1.3, 5.10575e-05
1.4, 4.15952e-05
1.5, 3.43024e-05
1.6, 2.85224e-05
1.7, 2.35044e-05
1.8, 1.8855e-05
1.9, 1.47075e-05
2, 1.13589e-05
2.1, 9.0489e-06
2.2, 7.86467e-06
2.3, 7.62725e-06
2.4, 8.00761e-06
2.5, 8.76077e-06
2.6, 9.76017e-06
2.7, 1.09072e-05
2.8, 1.20584e-05
2.9, 1.30893e-05
3, 1.39398e-05
3.1, 1.46072e-05
3.2, 1.51262e-05
3.3, 1.55317e-05
3.4, 1.58381e-05
3.5, 1.60385e-05
3.6, 1.61159e-05
3.7, 1.60646e-05
3.8, 1.59208e-05
3.9, 1.57648e-05
4, 1.56782e-05
4.1, 1.57304e-05
4.2, 1.59799e-05
4.3, 1.64724e-05
4.4, 1.72387e-05
4.5, 1.82958e-05
4.6, 1.96558e-05
4.7, 2.13292e-05
4.8, 2.33222e-05
4.9, 2.56352e-05
5, 2.82624e-05
