x, y
0.5, 0.0414696
0.6, 0.0375879
0.7, 0.0322293
0.8, 0.023912
0.9, 0.0136388
1, 0.0060338
1.1, 0.00302905
1.2, 0.00145839
1.3, 0.00108088
1.4, 0.00106651
1.5, 0.00107652
1.6, 0.00112039
1.7, 0.00120455
1.8, 0.00132964
1.9, 0.00148845
2, 0.00167134
2.1, 0.0018743
2.2, 0.00261767
2.3, 0.00340964
2.4, 0.00411059
2.5, 0.00490587
2.6, 0.00563096
2.7, 0.0063043
2.8, 0.00692378
2.9, 0.00746498
3, 0.00779164
3.1, 0.00814337
3.2, 0.00870055
3.3, 0.00949138
3.4, 0.0102004
3.5, 0.010801
3.6, 0.0113912
3.7, 0.0119806
3.8, 0.012374
3.9, 0.0126595
4, 0.0129771
4.1, 0.0133203
4.2, 0.0136914
4.3, 0.0140835
4.4, 0.0144945
4.5, 0.0149199
4.6, 0.0153556
4.7, 0.0157919
4.8, 0.0161465
4.9, 0.016511
5, 0.0168813
