x, y
0.5, 0.0665423
0.6, 0.0655428
0.7, 0.0621846
0.8, 0.05008
0.9, 0.0383693
1, 0.0212884
1.1, 0.00820848
1.2, 0.00355365
1.3, 0.0012464
1.4, 0.000160518
1.5, 4.5167e-05
1.6, 4.32726e-05
1.7, 4.15232e-05
1.8, 4.0007e-05
1.9, 3.8781e-05
2, 3.78691e-05
2.1, 3.72314e-05
2.2, 3.68296e-05
2.3, 3.66681e-05
2.4, 3.67678e-05
2.5, 3.71832e-05
2.6, 3.80262e-05
2.7, 3.94345e-05
2.8, 4.15515e-05
2.9, 4.45222e-05
3, 4.84864e-05
3.1, 5.35599e-05
3.2, 5.98282e-05
3.3, 6.73671e-05
3.4, 7.62401e-05
3.5, 8.64991e-05
3.6, 9.81966e-05
3.7, 0.000111382
3.8, 0.000126101
3.9, 0.000142387
4, 0.000160252
4.1, 0.000179672
4.2, 0.000200602
4.3, 0.000222983
4.4, 0.000246745
4.5, 0.0002718
4.6, 0.000298044
4.7, 0.000325392
4.8, 0.000353702
4.9, 0.000382894
5, 0.000412859
