x, y
0.5, 0.0665423
0.6, 0.0655229
0.7, 0.062189
0.8, 0.0500897
0.9, 0.0383885
1, 0.021328
1.1, 0.00833979
1.2, 0.00386273
1.3, 0.00194059
1.4, 0.00147674
1.5, 0.00148161
1.6, 0.00155714
1.7, 0.00170758
1.8, 0.00192878
1.9, 0.0022047
2, 0.00251856
2.1, 0.00286067
2.2, 0.00358548
2.3, 0.00438359
2.4, 0.00513445
2.5, 0.00597682
2.6, 0.00677464
2.7, 0.00753833
2.8, 0.0082639
2.9, 0.00893037
3, 0.00942524
3.1, 0.00994867
3.2, 0.0106464
3.3, 0.0115397
3.4, 0.0123645
3.5, 0.0130926
3.6, 0.0138188
3.7, 0.0145478
3.8, 0.0151146
3.9, 0.0155845
4, 0.0160785
4.1, 0.0166046
4.2, 0.0177472
4.3, 0.0183844
4.4, 0.018995
4.5, 0.0196355
4.6, 0.0202977
4.7, 0.0209663
4.8, 0.0215771
4.9, 0.0221977
5, 0.0228085
