x, y
0, 0
0.00090211, 1.76005e-06
0.00180422, 2.88594e-06
0.00270633, 3.51681e-06
0.00360844, 4.03169e-06
0.00451055, 4.47788e-06
0.00541266, 4.62101e-06
0.00631477, 4.52236e-06
0.00721688, 4.35765e-06
0.00811899, 4.3572e-06
0.0090211, 4.5382e-06
0.00992321, 4.81098e-06
0.0108253, 4.91157e-06
0.0117274, 4.78539e-06
0.0126295, 4.66546e-06
0.0135316, 4.70184e-06
0.0144338, 4.65459e-06
0.0153359, 4.60359e-06
0.016238, 4.38341e-06
0.0171401, 4.16624e-06
0.0180422, 4.21159e-06
0.0189443, 4.28745e-06
0.0198464, 4.0651e-06
0.0207485, 3.67829e-06
0.0216506, 3.39216e-06
0.0225527, 3.41514e-06
0.0234549, 3.66925e-06
0.024357, 3.95987e-06
0.0252591, 3.95443e-06
0.0261612, 3.68606e-06
0.0270633, 3.47135e-06
0.0279654, 3.33697e-06
0.0288675, 3.20433e-06
0.0297696, 3.09383e-06
0.0306717, 2.88097e-06
0.0315738, 2.96997e-06
0.032476, 3.4305e-06
0.0333781, 3.66583e-06
0.0342802, 3.54808e-06
0.0351823, 3.33566e-06
0.0360844, 3.28483e-06
0.0369865, 3.44507e-06
0.0378886, 3.73772e-06
0.0387907, 3.91434e-06
0.0396928, 3.74329e-06
0.0405949, 3.40701e-06
0.0414971, 3.24407e-06
0.0423992, 3.11549e-06
0.0433013, 3.07489e-06
0.0442034, 2.96969e-06
0.0451055, 2.84935e-06
0.0460076, 3.12116e-06
0.0469097, 3.53377e-06
0.0478118, 3.57468e-06
0.0487139, 3.34289e-06
0.049616, 3.07666e-06
0.0505181, 3.05704e-06
0.0514203, 3.2695e-06
0.0523224, 3.58996e-06
0.0532245, 3.67625e-06
0.0541266, 3.46827e-06
0.0550287, 3.26509e-06
0.0559308, 3.23199e-06
0.0568329, 3.19418e-06
0.057735, 3.22446e-06
0.0586371, 3.09117e-06
0.0595392, 3.08719e-06
0.0604414, 3.44016e-06
0.0613435, 3.71179e-06
0.0622456, 3.5943e-06
0.0631477, 3.29306e-06
0.0640498, 3.08869e-06
0.0649519, 3.15768e-06
0.065854, 3.42751e-06
0.0667561, 3.70559e-06
0.0676582, 3.68372e-06
0.0685603, 3.44086e-06
0.0694625, 3.32616e-06
0.0703646, 3.28994e-06
0.0712667, 3.29042e-06
0.0721688, 3.27237e-06
0.0730709, 3.1214e-06
0.073973, 3.25843e-06
0.0748751, 3.65541e-06
0.0757772, 3.77396e-06
0.0766793, 3.57494e-06
0.0775814, 3.2891e-06
0.0784836, 3.19237e-06
0.0793857, 3.33122e-06
0.0802878, 3.6347e-06
0.0811899, 3.81938e-06
0.082092, 3.69302e-06
0.0829941, 3.4616e-06
0.0838962, 3.40127e-06
0.0847983, 3.35723e-06
0.0857004, 3.38116e-06
0.0866025, 3.29562e-06
0.0875047, 3.21197e-06
0.0884068, 3.47796e-06
0.0893089, 3.81363e-06
0.090211, 3.79296e-06
0.0911131, 3.54257e-06
0.0920152, 3.29241e-06
0.0929173, 3.29276e-06
0.0938194, 3.50278e-06
0.0947215, 3.79695e-06
0.0956236, 3.85723e-06
0.0965257, 3.65356e-06
0.0974279, 3.49074e-06
0.09833, 3.45393e-06
0.0992321, 3.42656e-06
0.100134, 3.43358e-06
0.101036, 3.29249e-06
0.101938, 3.32058e-06
0.102841, 3.67372e-06
0.103743, 3.89617e-06
0.104645, 3.75791e-06
0.105547, 3.47867e-06
0.106449, 3.31868e-06
0.107351, 3.40024e-06
0.108253, 3.66483e-06
0.109155, 3.91562e-06
0.110057, 3.86105e-06
0.11096, 3.62121e-06
0.111862, 3.52522e-06
0.112764, 3.47745e-06
0.113666, 3.47702e-06
0.114568, 3.43084e-06
0.11547, 3.29437e-06
0.116372, 3.45655e-06
0.117274, 3.82507e-06
0.118176, 3.90381e-06
0.119078, 3.6981e-06
0.119981, 3.44002e-06
0.120883, 3.38053e-06
0.121785, 3.53923e-06
0.122687, 3.83753e-06
0.123589, 3.98253e-06
0.124491, 3.83364e-06
0.125393, 3.61916e-06
0.126295, 3.56329e-06
0.127197, 3.50718e-06
0.1281, 3.52057e-06
0.129002, 3.40612e-06
0.129904, 3.34147e-06
0.130806, 3.62427e-06
0.131708, 3.9294e-06
0.13261, 3.88057e-06
0.133512, 3.63595e-06
0.134414, 3.42743e-06
0.135316, 3.46763e-06
0.136219, 3.69709e-06
0.137121, 3.97693e-06
0.138023, 4.00119e-06
0.138925, 3.78643e-06
0.139827, 3.63751e-06
0.140729, 3.58884e-06
0.141631, 3.5603e-06
0.142533, 3.54427e-06
0.143435, 3.39421e-06
0.144338, 3.4504e-06
0.14524, 3.80904e-06
0.146142, 3.99296e-06
0.147044, 3.84187e-06
0.147946, 3.58838e-06
0.148848, 3.46913e-06
0.14975, 3.57306e-06
0.150652, 3.84838e-06
0.151554, 4.06606e-06
0.152457, 3.98353e-06
0.153359, 3.74761e-06
0.154261, 3.66406e-06
0.155163, 3.6072e-06
0.156065, 3.6086e-06
0.156967, 3.53964e-06
0.157869, 3.41856e-06
0.158771, 3.60859e-06
0.159673, 3.95484e-06
0.160576, 3.99758e-06
0.161478, 3.78984e-06
0.16238, 3.55321e-06
0.163282, 3.52773e-06
0.164184, 3.70075e-06
0.165086, 3.99018e-06
0.165988, 4.09905e-06
0.16689, 3.93382e-06
0.167792, 3.74142e-06
0.168695, 3.68942e-06
0.169597, 3.63739e-06
0.170499, 3.64991e-06
0.171401, 3.5217e-06
0.172303, 3.48547e-06
0.173205, 3.78195e-06
0.174107, 4.05162e-06
0.175009, 3.9715e-06
0.175911, 3.73122e-06
0.176814, 3.55573e-06
0.177716, 3.60815e-06
0.178618, 3.84026e-06
0.17952, 4.09998e-06
0.180422, 4.09516e-06
0.181324, 3.87842e-06
0.182226, 3.75544e-06
0.183128, 3.70621e-06
0.18403, 3.69126e-06
0.184933, 3.66963e-06
0.185835, 3.51794e-06
0.186737, 3.60618e-06
0.187639, 3.95977e-06
0.188541, 4.09552e-06
0.189443, 3.92807e-06
0.190345, 3.67782e-06
0.191247, 3.58991e-06
0.192149, 3.70376e-06
0.193051, 3.98036e-06
0.193954, 4.16618e-06
0.194856, 4.06325e-06
0.195758, 3.8444e-06
0.19666, 3.77536e-06
0.197562, 3.72102e-06
0.198464, 3.72993e-06
0.199366, 3.64743e-06
0.200268, 3.54762e-06
0.20117, 3.76301e-06
0.202073, 4.08137e-06
0.202975, 4.08739e-06
0.203877, 3.87357e-06
0.204779, 3.65263e-06
0.205681, 3.65071e-06
0.206583, 3.83349e-06
0.207485, 4.1085e-06
0.208387, 4.18547e-06
0.209289, 4.00848e-06
0.210192, 3.84228e-06
0.211094, 3.79506e-06
0.211996, 3.75147e-06
0.212898, 3.76124e-06
0.2138, 3.62355e-06
0.214702, 3.61704e-06
0.215604, 3.92507e-06
0.216506, 4.15533e-06
0.217408, 4.04848e-06
0.218311, 3.80937e-06
0.219213, 3.66319e-06
0.220115, 3.72723e-06
0.221017, 3.96355e-06
0.221919, 4.20429e-06
0.222821, 4.17309e-06
0.223723, 3.9559e-06
0.224625, 3.85472e-06
0.225527, 3.8038e-06
0.22643, 3.7983e-06
0.227332, 3.75812e-06
0.228234, 3.61759e-06
0.229136, 3.73639e-06
0.230038, 4.08271e-06
0.23094, 4.17545e-06
0.231842, 3.9957e-06
0.232744, 3.75981e-06
0.233646, 3.69529e-06
0.234549, 3.82326e-06
0.235451, 4.10001e-06
0.236353, 4.25399e-06
0.237255, 4.13157e-06
0.238157, 3.92841e-06
0.239059, 3.86883e-06
0.239961, 3.81484e-06
0.240863, 3.82551e-06
0.241765, 3.72761e-06
0.242668, 3.64854e-06
0.24357, 3.88719e-06
0.244472, 4.17964e-06
0.245374, 4.15458e-06
0.246276, 3.93767e-06
0.247178, 3.74035e-06
0.24808, 3.7548e-06
0.248982, 3.95106e-06
0.249884, 4.21415e-06
0.250787, 4.26054e-06
0.251689, 4.07146e-06
0.252591, 3.9267e-06
0.253493, 3.88041e-06
0.254395, 3.8479e-06
0.255297, 3.84245e-06
0.256199, 3.70022e-06
0.257101, 3.72327e-06
0.258003, 4.04083e-06
0.258906, 4.234e-06
0.259808, 4.1057e-06
0.26071, 3.8748e-06
0.261612, 3.75183e-06
0.262514, 3.83089e-06
0.263416, 4.07173e-06
0.264318, 4.29388e-06
0.26522, 4.23759e-06
0.266122, 4.02114e-06
0.267024, 3.9367e-06
0.267927, 3.8834e-06
0.268829, 3.88425e-06
0.269731, 3.82679e-06
0.270633, 3.69903e-06
0.271535, 3.84739e-06
0.272437, 4.17764e-06
0.273339, 4.23729e-06
0.274241, 4.04895e-06
0.275143, 3.82781e-06
0.276046, 3.78825e-06
0.276948, 3.93048e-06
0.27785, 4.20353e-06
0.278752, 4.32588e-06
0.279654, 4.18574e-06
0.280556, 4.0002e-06
0.281458, 3.94865e-06
0.28236, 3.89366e-06
0.283262, 3.90658e-06
0.284165, 3.79329e-06
0.285067, 3.73886e-06
0.285969, 3.9975e-06
0.286871, 4.26397e-06
0.287773, 4.209e-06
0.288675, 3.99162e-06
0.289577, 3.81875e-06
0.290479, 3.84838e-06
0.291381, 4.05381e-06
0.292284, 4.30425e-06
0.293186, 4.32189e-06
0.294088, 4.12642e-06
0.29499, 4.00041e-06
0.295892, 3.95345e-06
0.296794, 3.93168e-06
0.297696, 3.91336e-06
0.298598, 3.76912e-06
0.2995, 3.82161e-06
0.300403, 4.14505e-06
0.301305, 4.30003e-06
0.302207, 4.15353e-06
0.303109, 3.93015e-06
