Name	x	y	t
P00	-4.357229	0.000000	0.000000
P10	38.582846	18.676915	0.000000
P20	79.425739	44.310983	0.000000
P30	141.560296	15.022462	0.000000
P40	188.541797	7.931090	0.000000
P01	-35.340252	0.000000	107.347188
P11	13.130611	36.275081	102.057292
P21	50.155123	99.228062	72.009412
P31	133.559261	84.294118	100.627340
P41	188.541797	86.607446	114.885861
P02	-72.543302	0.000000	216.043308
P12	-7.471995	50.922046	213.555063
P22	-15.043085	170.431718	145.951901
P32	116.341262	176.001848	196.751383
P42	188.541797	153.571589	236.966722
P03	-101.581090	0.000000	327.328975
P13	-18.369302	61.890315	330.227341
P23	16.824583	177.181525	308.627630
P33	105.715071	216.915140	319.064161
P43	188.541797	243.754062	340.204663
P04	-128.849990	0.000000	440.000000
P14	-36.752112	78.122138	440.000000
P24	7.980821	204.614849	440.000000
P34	88.753737	284.900018	440.000000
P44	188.541797	336.522490	440.000000

--- Initial Guess Values ---
Index	Value
00	0.000000
01	47.135449
02	3.191127
03	94.270899
04	6.382253
05	141.406348
06	9.573380
07	12.764507
08	-30.413678
09	110.000000
10	24.325191
11	23.351593
12	110.000000
13	79.064060
14	46.703186
15	110.000000
16	133.802928
17	70.054779
18	110.000000
19	93.406372
20	110.000000
21	-60.827356
22	220.000000
23	1.514932
24	43.512059
25	220.000000
26	63.857221
27	87.024119
28	220.000000
29	126.199509
30	130.536178
31	220.000000
32	174.048238
33	220.000000
34	-91.241034
35	330.000000
36	-21.295326
37	63.672526
38	330.000000
39	48.650382
40	127.345052
41	330.000000
42	118.596089
43	191.017577
44	330.000000
45	254.690103
46	330.000000
47	-121.654712
48	-44.105585
49	83.832992
50	33.443543
51	167.665984
52	110.992670
53	251.498976
54	335.331968
