Name	x	y	t
P00	-34.052476	0.000000	0.000000
P10	13.292341	9.904832	0.000000
P20	82.607525	96.454301	0.000000
P30	82.837639	22.113971	0.000000
P40	188.541797	-64.391477	0.000000
P01	16.217464	0.000000	100.589710
P11	-30.024495	38.497325	89.084814
P21	52.483111	183.793639	63.563540
P31	119.153394	115.453380	93.982782
P41	188.541797	151.027170	174.285213
P02	-84.016206	0.000000	183.003136
P12	8.183885	41.110979	222.795775
P22	47.330834	161.757138	149.838935
P32	81.945023	237.294373	119.677795
P42	188.541797	100.342113	261.347589
P03	-69.014021	0.000000	285.202168
P13	10.271822	101.738661	301.367456
P23	-55.750079	143.974748	254.068304
P33	55.857164	321.214328	359.363339
P43	188.541797	217.748853	332.628712
P04	-154.442908	0.000000	440.000000
P14	5.482430	177.099839	440.000000
P24	8.655154	154.982649	440.000000
P34	21.060379	372.035244	440.000000
P44	188.541797	337.051548	440.000000

--- Initial Guess Values ---
Index	Value
00	0.000000
01	47.135449
02	3.191127
03	94.270899
04	6.382253
05	141.406348
06	9.573380
07	12.764507
08	-30.413678
09	110.000000
10	24.325191
11	23.351593
12	110.000000
13	79.064060
14	46.703186
15	110.000000
16	133.802928
17	70.054779
18	110.000000
19	93.406372
20	110.000000
21	-60.827356
22	220.000000
23	1.514932
24	43.512059
25	220.000000
26	63.857221
27	87.024119
28	220.000000
29	126.199509
30	130.536178
31	220.000000
32	174.048238
33	220.000000
34	-91.241034
35	330.000000
36	-21.295326
37	63.672526
38	330.000000
39	48.650382
40	127.345052
41	330.000000
42	118.596089
43	191.017577
44	330.000000
45	254.690103
46	330.000000
47	-121.654712
48	-44.105585
49	83.832992
50	33.443543
51	167.665984
52	110.992670
53	251.498976
54	335.331968
